sentimen,tweet,tweet_clean
positif,Jokowi harga mati seprti NKRI,jokowi harga mati seprti nkri
netral,"Wahhh niru capressnya nih, gak menghargai presiden sebelum pak jokowi , jejeran artis lainnnya gak disebut oom ?? Kasihan mereka sudah all out",wahhh niru capressnya nih nggak harga presiden jokowi jejer artis lainnnya nggak oom kasihan all out
netral,Prabowo-Sandi Tak Akan Ambil Gaji Sepeser Pun Jika Terpilih Menjadi Presiden  http://bit.ly/2UZNZiDÂ ,prabowo sandi tak ambil gaji peser pilih presiden
netral,"1) interest @prabowo adalah pd kesejahteraan rakyat, technologi adalah alat untuk mencapai itu. 2) @jokowi hanya mencoba menonjolkan pengetahuannya ttg makro ekonomi, yg tdk lengkap dan tampal baru saja dia ketahui. 3) Utk @jokowi digitech adalah tujuan",interest @prabowo pd sejahtera rakyat technologi alat capai @jokowi coba tonjol tahu ttg makro ekonomi tidak lengkap tampal tahu @jokowi digitech tuju
negatif,"Coba cek ktp anda, ada tulisan status ekonomi ngga? Kaya atau miskin? Trus status pekerjaan atau pengangguran? Alamat rumah asli atau Kontrakan? Karena itulah kita butuh kartu2 lain sebelum e ktp disempurnakan. Kalian koq gampang ditipu sih? Polos atau bego?",coba cek ktp tulis status ekonomi nggak kaya miskin trus status kerja anggur alamat rumah asli kontra butuh kartu2 e ktp sempurna koq gampang tipu sih polos bego
netral,Persoalan ekonomi Indonesia bukanlah kesalahan Jokowi. 3 kali pernyataan itu ditegaskan oleh #PrabowoSalahkanSBY sudah jelas sekali,ekonomi indonesia salah jokowi kali nyata #prabowosalahkansby sekali
positif,"@sandiuno mantaappppp....!!!!!!! Seharusnya waktu bilang ""TURUNKAN HARGA LISTRIK DAN TIDAK IMPOR SAAT PANEN"" diteriakkan dengan kencang. Akan lebih mantap...!!! Karena faktor itu lah kebanyakan rakyak kecewa dg @jokowi",@sandiuno mantaappp bilang turun harga listrik tidak impor panen teriak kencang lebih mantap faktor banyak rakyak kecewa dg @jokowi
negatif,Fakta pertumbuhan kecil ya sangat berefek pada ekonomi dalam negeri lah ..  2014 pertumbuhan ekonomi juga jadi jargon kampanye anda .  Halah halahhhh ...  Semoga lekas ganti pemain deh,fakta tumbuh ya sangat efek ekonomi negeri tumbuh ekonomi jargon kampanye halah halahhh moga lekas ganti main deh
negatif,"Sebelumnya kan ngomong dengan mudahnya Janji  ekonomi bakal tumbuh diatas 7% ,eh sekarang lain lagi omongane, sehat pak jok????",ngomong mudah janji ekonomi tumbuh atas eh omongane sehat jok
negatif,Seandainya Prabowo jadi presiden( amit amit) dan janji-janjinya ternyata gak terwujud dan ekonomi makan merosot pasti nyalahin pemerintah sebelumnya  yaitu Jo.... SBY ðŸ˜‘,anda prabowo presiden amit amit janji janji nggak wujud ekonomi makan merosot nyalahin perintah jo sby
positif,Sangat jelas skali kwalitas 02 yg cerdas dan berwawasan luas.  Debat tadi malam 02 menang mutlak ðŸ†ðŸ‘ 02 sangat layak memimpin bangsa ini. Gaji mereka relakan untuk fakir miskin dan kaum dhuafa,sangat skali kwalitas cerdas wawas luas debat malam menang mutlak sangat layak pimpin bangsa gaji rela fakir miskin kaum dhuafa
netral,"Jokowi: Pertumbuhan Ekonomi >5% Harus Disyukuri, Jangan KufurÂ Nikmat  https://bhinnekanusantara.id/jokowi-pertumbuhan-ekonomi-5-harus-disyukuri-jangan-kufur-nikmat/Â â€¦ pic.twitter.com/GpsxLj72Vs",jokowi tumbuh ekonomi syukur kufur nikmat pic twitter com gpsxlj72vs
positif,Sah 01 satu suara 17 April 2019 Jokowi-Amin Harga Mati Untuk NKRI Maju.,sah suara april jokowi amin harga mati nkri maju
positif,Capres 02 bilang didebat keadaan ekonomi Indonesia saat ini bukan salah @jokowi tapi salah pemimpin2 terdahulu. Jd utk penggemar 02 jangan salahkan Jokowi lagi ya krn bosmu udah bilang itu bukan salah Jokowi.  https://bit.ly/2UyAoiRÂ  #PrabowoSalahkanSBY,capres bilang debat ekonomi indonesia bukan salah @jokowi salah pemimpin2 jd gemar salah jokowi ya bos udah bilang bukan salah jokowi #prabowosalahkansby
negatif,"@jokowi jika ekonomi, kesehatan, pendidikan kita baik2 saja. Knp harus ada kartu ini dan itu??? Serius nanya pak.",@jokowi ekonomi sehat didik baik2 knp kartu serius nanya
negatif,"Lu bloon juga ya. Jakarta lebih suram dipimpin Jokowi, pertumbuhan ekonomi Jakarta rendah",lu bloon ya jakarta lebih suram pimpin jokowi tumbuh ekonomi jakarta rendah
negatif,"Harga tiket pesawat semakin menggila, pak @jokowi dan pak @BudiKaryaS  tolonglah rakyatmu ini.",harga tiket pesawat gila @jokowi @budikaryas tolong rakyat
positif,"Kami rakyat jelata/rakyat dr kalangan bwh,hanya ingin harga sembako bs di kuasai pemerintah,bukan di kuasai mafioso,dan hanya anda yg bs menguasai nya harga,mhn pak trm ksh",rakyat jelata rakyat kalang bwh harga sembako bs kuasa perintah bukan kuasa mafioso bs kuasa harga mhn trm ksh
negatif,"Lo dungu, ambil sampel satu game saja yg paling populer di Indonesia seperti COC tadi gak ada pemain COC yg menghasilkan uang dr main game, paling akunnya dijual yg beli anak SMP yg make duit bapaknya yg udah pusing sama bayaran kredit & pajak yg nguras gajinya yg kecil",lo dungu ambil sampel game paling populer indonesia coc nggak main coc hasil uang main game paling akun jual beli anak smp make duit bapak udah pusing bayar kredit pajak nguras gaji
negatif,Masa bayar kan presiden.. Tinggal potong pajak ajakan beres....,bayar presiden tinggal potong pajak aja beres
positif,Terharu baca reply nya betapa dihargai dan diapresiasinya pak jokowi sama orang luar,haru baca reply betapa harga apresiasi jokowi orang
negatif,"Jika yg dimaksud Prabowo dgn pembangunan ekonomi salah arah, adalah sistem ekonominya, mudah-mudahan Prabowo tidak menginginkan sistem ekonomi yang tertutup ya. Chavez sebagai sebuah cerita mungkin hebat, tp dia membuat Venezuela menderita",prabowo bangun ekonomi salah arah sistem ekonomi mudah mudah prabowo tidak sistem ekonomi tutup ya chavez cerita hebat venezuela derita
positif,"Semoga Pak @jokowi  , di kabinet baru nya nanti memanggil Bapak untuk bertugas membangun ekonomi kita kembali Pak. Orang benar disayang Tuhan. ðŸ™",moga @jokowi kabinet panggil tugas bangun ekonomi orang sayang tuhan
negatif,"Tapi bapak sendiri yang bilang dengan optimisme bapak klo pertumbuhan ekonomi 8% itu bukan hal yg sulit. Nyatanya bapak gagal,ekonomi mentok di 5%. Optimisme itu bukan sekedar jargon pak",bilang optimisme klo tumbuh ekonomi bukan sulit gagal ekonomi mentok optimisme bukan dar jargon
negatif,"Om Wowo menyebut kesalahan arah ekonomi Indonesia tidak semata salah @jokowi, tetapi juga presiden-presiden sebelumnya.  HYPERLINK "" https://bit.ly/2DgcEp3Â ""  https://bit.ly/2DgcEp3Â  #PrabowoSalahkanSBY",om wowo sebut salah arah ekonomi indonesia tidak salah @jokowi presiden presiden hyperlink #prabowosalahkansby
netral,"RT Harian_Jogja ""Kecewa, Demokrat Minta Prabowo Hargai Kontribusi SBY  https://news.harianjogja.com/read/2019/04/14/500/985236/keceemokrat-minta-prabowo-hargai-kontribusi-sby?utm_source=dlvr.it&utm_medium=twitterÂ â€¦  pic.twitter.com/D3S7TqJpSp""",rt hari jogja kecewa demokrat prabowo harga kontribusi sby pic twitter com d3s7tqjpsp
netral,"Sebut Ibu Mia saat Debat Ekonomi Makro, Sandiaga Disemprot Jokowi  https://amp.suara.com/news/2019/04/13/221059/sebut-ibu-mia-saat-debat-ekonomi-makro-sandiaga-disemprot-jokowi?utm_source=facebook&utm_medium=fpÂ â€¦",mia debat ekonomi makro sandiaga semprot jokowi
netral,"Namanya juga jaman modern, gaji ya ditransfer bukan diambil.  Jika Terpilih, Prabowo-Sandi Tak Akan Ambil Gaji  http://share.babe.news/s/UFbckdNÂ ",nama jaman modern gaji ya transfer bukan ambil pilih prabowo sandi tak ambil gaji
positif,Basicnya cuma pengusaha. Hnya mencakup perusahaan kecil. Makanya si uno mana paham ekonomi makro ttg pengelolaan negara. Malah di kasih contoh kesusahan ibu2..ngakak gue dengernya,basicnya usaha hnya cakup usaha si uno paham ekonomi makro ttg kelola negara kasih contoh susah ibu2 ngakak gue dengernya
positif,"17 April Coblos Jokowi-Ma'ruf Untuk mengakhiri hambatan perdagangan, @jokowi mengembalikan tres positif perdagangan antara lain melalui perjanjian kerjasama ekonomi dgn Turki. #JokowiMenangTotalDebat Perdagangan Indonesia meningkat era @jokowi. #01ndonesiaMaju",april coblos jokowi ma ruf hambat dagang @jokowi kembali tres positif dagang janji kerjasama ekonomi turki #jokowimenangtotaldebat dagang indonesia tingkat era @jokowi #01ndonesiamaju
netral,"Pemerataan tersebut, kata Jokowi, juga mampu mendorong perekonomian di daerah. Ia memberi contoh adanya barang yang diproduksi oleh masyarakat sekitar.",perata jokowi dorong ekonomi daerah contoh barang produksi masyarakat
negatif,"Udalah otak Lo udah dibodohi oleh perusahaan game, mrk yg dapat keuntungan besar bukan Indonesia, jadi gamers bkn lah sebuah pekerjaan, game cm sekedar hiburan tak ada penghasilan ekonomis dr game, hanya presiden bodoh yg bilang game bisa menambah pendapatan negara",uda otak lo udah bodoh usaha game mrk untung bukan indonesia gamers bukan kerja game cm dar hibur tak hasil ekonomis game presiden bodoh bilang game tambah dapat negara
positif,Pancasila harga mati bravo pak presiden @jokowi  pic.twitter.com/knQYLidaeC,pancasila harga mati bravo presiden @jokowi pic twitter com knqylidaec
netral,"Kecewa, Demokrat Minta Prabowo Hargai Kontribusi SBY  https://news.harianjogja.com/read/2019/04/14/500/985236/keceemokrat-minta-prabowo-hargai-kontribusi-sby?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ pic.twitter.com/URQioNm6tC",kecewa demokrat prabowo harga kontribusi sby pic twitter com urqionm6tc
negatif,Basicnya pengusaha memang blum mampu menangani ekonomi makro. Makanya jabawan dr si uno begitu2 saja. Sampe jokowi kesal,basicnya usaha blum tangan ekonomi makro jabawan si uno begitu2 sampe jokowi kesal
netral,Ekonomi Indonesia merosot!!! Kata Prabowo #bukansalahbapak,ekonomi indonesia merosot prabowo #bukansalahbapak
netral,"Pernyataan Penutup: Jokowi-Ma'ruf Sebut Jangan Kufur Nikmat, Prabowo-Sandi Tak Ambil Gaji  http://dlvr.it/R2n40vÂ ",nyata tutup jokowi ma ruf kufur nikmat prabowo sandi tak ambil gaji
netral,"Ekonomi Indonesia sejak dulu sudah amburadul, kata Prabowo. #bukansalahbapak pic.twitter.com/AEyCTJ2QUZ",ekonomi indonesia amburadul prabowo #bukansalahbapak pic twitter com aeyctj2quz
positif,Semoga gaji guru madrasah bisa tersejahtrakan..semoga prabowo-sandi jadi presiden dan wakil presiden Republik Indonesia ini..aammiin,moga gaji guru madrasah tersejahtrakan moga prabowo sandi presiden wakil presiden republik indonesia aammiin
positif,"akutuh kasihan ngelihat pak jokowi udah berumur, tapi masih ttp trsnyum disaat org2 ngebenci dia:( diluar dia jadi capres, ak ttp ngehargai usaha bapa selama jd presiden. bapa org yg kuat, yg tabah, yg sabar akan hinaan2 rakyatnya sendiri:( kdg suka nangis deh klo ngeliat bapa",akutuh kasihan ngelihat jokowi udah umur ttp trsnyum saat org2 ngebenci luar capres ak ttp ngehargai usaha bapa jd presiden bapa org kuat tabah sabar hinaan2 rakyat kdg suka nang deh klo ngeliat bapa
negatif,Aku mau bertanya kenapa pak Prabowo gak bisa jawab sendiri tentang pentingnya e-sport bagi perekonomian Indonesia?,prabowo nggak e sport ekonomi indonesia
netral,"Yg di bahas ekonomi makro,ekonomi negara sprti bumn, pertambangan, export, import.",bahas ekonomi makro ekonomi negara sprti bumn tambang export import
positif,"Pembagian kesempatan berbicara pak Jokowi & Ma'aruf Amin ini pas. Boleh dibilang, apa yg disampaikan mereka itu adalah hal sdh dikuasai betul. Soal ekonomi mikro dan makro, birokrasi, pemerintahan, budaya, perempuan, perbankan syarih, eko syariah, dll. Tdk asbun. #JokowiAmin",bagi sempat bicara jokowi ma aruf amin pas bilang sdh asai ekonomi mikro makro birokrasi perintah budaya perempuan perban syarih eko syariah dll tidak asbun #jokowiamin
netral,"Baik berupa kawasan industri kecil baik kawasan ekonomi khusus, kawasan ekonomi khusus pariwisata dan berefek pada barang kerajinan desa dan juga kami ingin terus memperjuangkan kemandirian ekonomi desa,"" papar Jokowi.",kawasan industri kawasan ekonomi khusus kawasan ekonomi khusus pariwisata efek barang rajin desa juang mandiri ekonomi desa papar jokowi
positif,"Makasih ya Allah.. skenario MU begitu Agung. Engkau hadirkan jaman cebong utk tunjukan para pengkhianat & munafik bangsa. kini disaat yg tepat Engkau beri obat nya. Prabowo Sandi ,Pertama kali dlm sejarah Asia Tenggara, Presiden menyedekahkan GAJI nya.   #17April2019PeoplePower pic.twitter.com/yPk54WbPFh",makasih ya allah skenario mu agung engkau hadir jaman cebong tunjuk khianat munafik bangsa saat engkau obat prabowo sandi kali dlm sejarah asia tenggara presiden sedekah gaji #17april2019peoplepower pic twitter com ypk54wbpfh
netral,"New post: Pengamat Tanggapi Positif Pertumbuhan Ekonomi Era Jokowi, Meski Tak Capai Target  http://www.inibalikpapan.com/pengamat-tanggapi-positif-pertumbuhan-ekonomi-era-jokowi-meski-tak-capai-target/Â â€¦",new post amat tanggap positif tumbuh ekonomi era jokowi tak capai target
negatif,Prabowo lupa kalau ekonomi Indonesia hancur karena suharto menjajah Indonesia 32 th sehingga dilengser kan oleh rakyat. Dan prabowo adalah menantu suharto saat itu,prabowo lupa ekonomi indonesia hancur suharto jajah indonesia th lengser rakyat prabowo menantu suharto
positif,saya setuju sama pak Prabowo bahwa kerusakan ekonomi Indonesia ini karena presiden2 sebelumnya. termasuk SBY. @AgusYudhoyono,tuju prabowo rusa ekonomi indonesia presiden2 sby @agusyudhoyono
positif,"Kata Prabowo, SBY ikut bikin ekonomi Indonesia salah arah. Begitu ya. Paham saya.",prabowo sby bikin ekonomi indonesia salah arah ya paham
negatif,"Lo dengar perdebatan seorang presiden RI tadi malam gak? Dia menyebut mobile legend, game tsb perlu upgrade level gak? Lo tau tujuan debat? Utk bahas  persoalan bangsa ini, soal ekonomi itu terkait uang, harus ada nilai ekonomis bagi negara bukan utk pembuat aplikasi game",lo dengar debat presiden ri malam nggak sebut mobile legend game tsb upgrade level nggak lo tau tuju debat bahas bangsa ekonomi kait uang nilai ekonomis negara bukan buat aplikasi game
netral,Prabowo-Sandi Ingin Bumn Jadi Penyangga Ekonomi Rakyat #debatkelima #debatterakhircapres2019  https://gerbang.co.id/prabowo-sandi-ingin-bumn-jadi-penyangga-ekonomi-rakyat/Â â€¦ pic.twitter.com/kF8MCwh47t,prabowo sandi bumn sangga ekonomi rakyat #debatkelima #debatterakhircapres2019 pic twitter com kf8mcwh47t
netral,"Selama 4,5 th saya dgn Pak JK telah berusaha keras berjuang keras dlm rangka mengembalikan watak asli dari pembangunan di negara kita Indonesia yaitu tdk bertumpu d prtmbuhan ekonomi sjtp bertumpu pemerataan krna prtmbuhan ekonomi, kata Jokowi memaparkan visi-misi pd debat ke-5",th jk usaha keras juang keras dlm rangka kembali watak asli bangun negara indonesia tidak tumpu d prtmbuhan ekonomi sjtp tumpu perata krna prtmbuhan ekonomi jokowi papar visi misi pd debat
netral,"Prabowo ingin kejar penghindar pajak, TKN: Pemimpin harus beri contoh  http://bit.ly/2DbRE2FÂ ",prabowo kejar hindar pajak tkn pimpin contoh
positif,"Infrstruktur sukses BESAR, sluruh daerah merasakan keadilan & kesejahteraan, EKONOMI cukup bagus, Keamanan mantep, DANA DESA TOP BGET, para sindikat pencuri ikan tiarap, AMNESTI PAJAK berhasil,Prestasi JOKOWI hrs di lanjutkan, #JokowiLagi #PrabowoSalahkanSBY",infrstruktur sukses sluruh daerah rasa adil sejahtera ekonomi bagus aman mantep dana desa top bget sindikat curi ikan tiarap amnesti pajak hasil prestasi jokowi hrs lanjut #jokowilagi #prabowosalahkansby
netral,Prabowo: Bumn Benteng Terakhir Ekonomi Indonesia  https://gerbang.co.id/prabowo-bumn-benteng-terakhir-ekonomi-indonesia/Â â€¦ pic.twitter.com/YeGA4gNyfD,prabowo bumn benteng ekonomi indonesia pic twitter com yega4gnyfd
positif,"Argumen Jokowi sangat make sense drpd yg satu itu setiap debat kata si A di daerah ini si B di daerah itu, ini sangat ketauan yg satu itu tdk paham ekonomi negara. Dan skrg minta rakyat milih dia yg hanya paham ekonomi sebatas perusahaan. Jgn membodoi warga dgn kata2 ibu ini itu.",argumen jokowi sangat make sense drpd debat si a daerah si b daerah sangat tau tidak paham ekonomi negara rakyat milih paham ekonomi batas usaha jgn membodoi warga kata2
negatif,Hal hal yang remeh temeh ditanyakan..rakyat tidak butuh itu..rakyat butuh kesejahteraan.. Kepastian hukum..ekonomi stabil..bukan GAME... Dari pertanyaan sdh bisa menggambarkan kualitas seseorang...sungguh naif dan memalukan.,remeh temeh rakyat tidak butuh rakyat butuh sejahtera pasti hukum ekonomi stabil bukan game sdh gambar kualitas sungguh naif malu
negatif,"Dr ini aja kita"" dah bisa ambil kesimpulan klo ulama"" jg ustad"" y itu berbayar dn mulut y disogok smua. Cuma @prabowo jg hrus dong byr gaji"" karyawan y,jgn hny krn ingin jd RI 1 suap orang sana sini, smntara bkas karyawan y kelaparan dgn anak istri y. Tul g @Fahrihamzah @fadlizon",dah ambil simpul klo ulama ustad y bayar dn mulut y sogok @prabowo hrus byr gaji karyawan y jgn hny jd ri suap orang smntara bkas karyawan y lapar anak istri y tul g @fahrihamzah @fadlizon
negatif,"JD pejabat itu digaji rakyat, amanah rakyat, JD jgn nakut2in beramai2 teriak nunjukin pangkat Dan kacak pinggang, angkuh betul! Giliran Ada yg ganggu pemilu diem, percuma teriak, kumis tebal Pak....",jd jabat gaji rakyat amanah rakyat jd jgn nakut2in beramai2 teriak nunjukin pangkat kacak pinggang angkuh gilir ganggu milu diem teriak kumis tebal
positif,Lah pak prabowo ama sandi dr awal udah kaya... Berapa sih gaji ama tunjangan nya setahun.... Ga ada apa2nya dibandingkan penghasilan dr usaha2 yg mereka punya....teko klo dituang bakal ngeluarin isi di dalamnya... Klo pikiran lo negatif ya yg keluar juga negatif ky gini,prabowo ama sandi udah kaya sih gaji ama tunjang tahun nggak apa2nya banding hasil usaha2 teko klo tuang ngeluarin isi dalam klo pikir lo negatif ya negatif ky gin
netral,Skak Mat untuk Prabowo - Sandi  Amburadul Ekonomi Macro - Micro memangnya NKRI dihuni segelintir orang  https://www.facebook.com/KASTAONE/posts/2362981890399549Â â€¦,skak mat prabowo sandi amburadul ekonomi macro micro memang nkri huni gelintir orang
netral,Demokrat Minta Prabowo Hargai Kontribusi Presiden SBY  http://bit.ly/2X9aSxxÂ ,demokrat prabowo harga kontribusi presiden sby
netral,"Ekonom CSIS Fajar B Hirawan menjelaskan faktor eksternal lebih menyebabkan mengapa pertumbuhan ekonomi 6,5% dalam jangka waktu 5 tahun ke depan sulit untuk dicapai  #HoaxSandiaga #SandiwaraUno #JokowiMenangTotalDebat #salamsatujempol #prabowo #debatpilpres2019 #prabowosandi2019 pic.twitter.com/jFcs1SUfw1",ekonom csis fajar b hirawan faktor eksternal lebih sebab tumbuh ekonomi jangka sulit capai #hoaxsandiaga #sandiwarauno #jokowimenangtotaldebat #salamsatujempol #prabowo #debatpilpres2019 #prabowosandi2019 pic twitter com jfcs1sufw1
netral,"Capres Joko Widodo (Jokowi) menekankan pemerataan pembangunan di wilayah Indonesia. Lewat pemerataan pembangunan seperti infrastruktur, pertumbuhan ekonomi bisa meningkat di tiap wilayah.",capres joko widodo jokowi tekan perata bangun wilayah indonesia perata bangun infrastruktur tumbuh ekonomi tingkat wilayah
negatif,Cina butuh 40 tahun bangun ekonominya katanya ... @jokowi baru 4.5 tahun dah mau digeser !!! Hiks,cina butuh bangun ekonomi @jokowi dah geser hiks
netral," https://bit.ly/2XaxtdaÂ   Ekonomi Salah Arah, Om Wowo Salahkan Presiden-Presiden Sebelum @jokowi #PrabowoSalahkanSBY",ekonomi salah arah om wowo salah presiden presiden @jokowi #prabowosalahkansby
netral,"Om Wowo bilang, ekonomi salah jalan. Dia menyalahkan presiden-presiden sebelum @jokowi #PrabowoSalahkanSBY",om wowo bilang ekonomi salah jalan salah presiden presiden @jokowi #prabowosalahkansby
netral,"Debat kelima ini akan bertemakan ekonomi dan kesejahteraan sosial, keuangan dan investasi, serta perdagangan industri. Untuk mewujudkannya, Jokowi mengaku telah membangun infrastruktur yang tidak hanya di Pulau Jawa.",debat tema ekonomi sejahtera sosial uang investasi dagang industri wujud jokowi aku bangun infrastruktur tidak pulau jawa
negatif,"Pertumbuhan ekonomi itu salah satu indikator keberhasilan pemerintah, jangan hanya krn tdk tercapai trs mengabaikannya. Coba kalu skrg pertumbuhan ek kita 10% pasti bpk jual buat kampanye. Bukankah begitu?",tumbuh ekonomi salah indikator hasil perintah tidak capai abai coba kalu tumbuh ek bpk jual kampanye
netral,"Karena pertumbuhan ekonomi tanpa adanya pemerataan adalah sebuah ketimpangan, sebut Jokowi.",tumbuh ekonomi tanpa perata timpang jokowi
netral,"Jokowi vs Sandi Debat Ekonomi Makro dan Mikro, Pahami Artinya   http://bit.ly/2KBgIGCÂ ",jokowi vs sandi debat ekonomi makro mikro paham
netral,Jokowi menyebut pembangunan tidak hanya bertumpu pada pertumbuhan ekonomi saja tetapi juga pemerataan. Dia ingin mewujudkan keadilan yang menyeluruh.,jokowi sebut bangun tidak tumpu tumbuh ekonomi perata wujud adil
netral,Jokowi Jawab Kritik Pertumbuhan Ekonomi 5% dan Pamerkan AkuisisiÂ Freeport  https://bhinnekanusantara.id/jokowi-jawab-kritik-pertumbuhan-ekonomi-5-dan-pamerkan-akuisisi-freeport/Â â€¦ pic.twitter.com/uelpK8Cxfd,jokowi kritik tumbuh ekonomi pamer akuisisi freeport pic twitter com uelpk8cxfd
netral,"Prabowo : Ekonomi RI Salah Arah, Karena Salah Presiden-Presiden Sebelum Jokowi:  http://metrobali.com/prabowo-ekonomi-ri-salah-arah-karena-salah-presiden-presiden-sebelum-jokowi/Â â€¦ via @metrobali",prabowo ekonomi ri salah arah salah presiden presiden jokowi via @metrobali
netral,"Kegiatan ini diselenggarakan utk yg ke 2 kalinya, sejak diluncurkan oleh Presiden @jokowi, 4 April 2018. #IIS2019 diselenggarakan dengan tema ""Implementasi Making Indonesia 4.0 Menuju Indonesia Menjadi Negara 10 Besar Ekonomi Duniaâ€,   #Industri4.0 #IIS2019 pic.twitter.com/fYZCUVRAhk",giat selenggara kali luncur presiden @jokowi april #iis2019 selenggara tema implementasi making indonesia indonesia negara ekonomi dunia #industri4 #iis2019 pic twitter com fyzcuvrahk
netral,"Debat Terbuka: Sandi Dinilai Kuasai Ekonomi, Jokowi Paksa Bicara Digital  https://news.detik.com/berita/d-4509599/debat-terbuka-sandi-dinilai-kuasai-ekonomi-jokowi-paksa-bicara-digitalÂ â€¦",debat buka sandi nilai kuasa ekonomi jokowi paksa bicara digital
positif,"Sejujurnya w setuju sih. Gimana ya, debat terakhir kemarin itu adalah debat capres pertama yang w tonton, dan menurutku, meskipun pak jokowi ngomongnya e e gitu tp dia tuh ngerti teori semacam ekonomi mikro makro gmn penanganannya dsb. Bangga!  https://twitter.com/snpftk/status/1117079444647059456Â â€¦",jujur w tuju sih gimana ya debat kemarin debat capres w tonton turut jokowi ngomongnya e e gitu tuh ngerti teori ekonomi mikro makro gmn tangan dsb bangga
netral,"Detik-detik Prabowo Celingak Celinguk Tidak Paham Ekonomi Makro & Mikro, Simak!  https://www.kitaberita.com/2019/04/detik-detik-prabowo-celingak-celinguk.htmlÂ â€¦",detik detik prabowo cingak celinguk tidak paham ekonomi makro mikro simak
netral,"Pak Wowo dalam debat mengatakan, orientasi ekonomi Indonesia tidak berada di jalur yg benar akibat ulah Presiden2 sebelum Pak @jokowi.  https://bit.ly/2PbAB5SÂ  #PrabowoSalahkanSBY",wowo debat orientasi ekonomi indonesia tidak jalur akibat ulah presiden2 @jokowi #prabowosalahkansby
netral,"Pak Jokowi tetap menghargai Presiden2 sebelumnya, berkat mereka muncul Presiden yg nggak banyak bicara terus bekerjasama dg para ahli di kabinetnya maupun ahli yg siap menyumbangkan idenya untuk memajukan Indonesia, dan mengajak semua untuk kerja, kerja, kerja  https://twitter.com/yusuf_dumdum/status/1117070173729509382Â â€¦",jokowi harga presiden2 berkat muncul presiden nggak bicara bekerjasama dg ahli kabinet ahli sumbang ide maju indonesia ajak kerja kerja kerja
negatif,"#PrabowoSalahkanSBY  https://bit.ly/2Za6qjLÂ . PS bolak-balik menyinggung soal deindustrialisasi. Anehnya, dia mengatakan tak ingin menyalahkan @jokowi. Dia malah berujar salah arahnya pembangunan ekonomi Indonesia tak terlepas dr andil presiden sebelum Jokowi. Jelaskan?",#prabowosalahkansby ps bolak singgung deindustrialisasi aneh tak salah @jokowi salah arah bangun ekonomi indonesia tak lepas andil presiden jokowi
positif,Dengan niat yang tulus kami relawan di daerah siap menangkan @Jokowi dan menjadikan moment di #MulaiPutihkanGBK sebagai tragedi yang paling berharga bagi bangsa dan Negara. #2019BaliJOIN #2019TetapJokowi,niat tulus rawan daerah menang @jokowi jadi moment #mulaiputihkangbk tragedi paling harga bangsa negara #2019balijoin #2019tetapjokowi
netral,"Sering Sebut Emak-emak Sebagai Standar Kondisi Ekonomi, Sandi Dikepret Jokowi  http://akurat.co/ekonomi/id-590422-read-sering-sebut-emakemak-sebagai-standar-kondisi-ekonomi-sandi-dikepret-jokowiÂ â€¦",emak emak standar kondisi ekonomi sandi kepret jokowi
positif,Masuk akal bagi prabowo sandi karena sandiaga uno ga pernah ambil gaji waktu jadi wakil gubernur,masuk akal prabowo sandi sandiaga uno nggak ambil gaji wakil gubernur
netral,"RT GesuriID ""Era Pemerintahan Jokowi Terjadi Pemerataan Ekonomi   https://www.gesuri.id/pemilu/era-pemerintahan-jokowi-terjadi-pemerataan-ekonomi-b1WexZjhzÂ â€¦ #pdiperjuangan""",rt gesuriid era perintah jokowi perata ekonomi #pdiperjuangan
netral,"RT TRANS7 ""Menurut prabowo ""digital-digital itu bagus, tapi rakyat kita perlu swasembada pangan dengan harga terjangkau. Kita harus turunkan harga"". #DebatPilpres2019diTrans7  pic.twitter.com/6nbJooGPHc""",rt trans7 prabowo digital digital bagus rakyat swasembada pangan harga jangkau turun harga #debatpilpres2019ditrans7 pic twitter com 6nbjoogphc
negatif,"Ketika paslon 01 bahas ekonomi makro secara global, paslon 02 jawabnya seperti anak bayi yang nggak ngerti apa2. Hanya bisa lihat ini itu tapi masih belajar utk memahami suatu pernyataan.   https://bit.ly/2X8pIEvÂ  #PrabowoSalahkanSBY Semakin mantap pilih @jokowi.",paslon bahas ekonomi makro global paslon anak bayi nggak ngerti apa2 lihat ajar paham nyata #prabowosalahkansby mantap pilih @jokowi
positif,"Semakin mantap pilih @jokowi.  https://bit.ly/2X8pIEvÂ  Ketika paslon 01 bahas ekonomi makro secara global, paslon 02 jawabnya seperti anak bayi yang nggak ngerti apa2. Hanya bisa lihat ini itu tapi masih belajar utk memahami suatu pernyataan.  #PrabowoSalahkanSBY",mantap pilih @jokowi paslon bahas ekonomi makro global paslon anak bayi nggak ngerti apa2 lihat ajar paham nyata #prabowosalahkansby
netral,"Apa saja kabar menarik dalam sepekan ini? Ya kita mulai saja: ada soal Jokowi yang kena hoaks lebih banyak, permainan di balik harga tiket pesawat, dan 4 kabar lainnya. #RingkasanSepekan https://beritagar.id/artikel/berita/6-kabar-terpopuler-sepekan-terakhirÂ â€¦",kabar tarik pek ya jokowi kena hoaks lebih main harga tiket pesawat kabar #ringkasansepekan
